season,team,side,plays,successes,sr,epa_per_play
2025,ARI,def,59,29,0.491525,-0.010169504
2025,ARI,off,46,17,0.369565,-0.04043198
2025,ATL,def,41,17,0.414634,-0.32710773
2025,ATL,off,57,35,0.614035,-0.040521994
2025,BAL,def,60,35,0.583333,0.13550273
2025,BAL,off,46,23,0.5,0.106019065
2025,BUF,def,69,36,0.521739,-0.044242468
2025,BUF,off,89,50,0.561798,0.12324052
2025,CAR,def,46,21,0.456522,0.13818221
2025,CAR,off,55,28,0.509091,0.0878732
2025,CHI,def,51,34,0.666667,0.41583496
2025,CHI,off,55,26,0.472727,-0.020710679
2025,CIN,def,57,27,0.473684,-0.0019553525
2025,CIN,off,48,22,0.458333,0.014907231
2025,CLE,def,39,15,0.384615,-0.17430505
2025,CLE,off,54,26,0.481481,-0.03840964
2025,DAL,def,53,33,0.622642,0.28452122
2025,DAL,off,65,30,0.461538,-0.11635131
2025,DEN,def,51,28,0.54902,0.24182615
2025,DEN,off,54,28,0.518519,0.17626782
2025,DET,def,47,25,0.531915,0.11682143
2025,DET,off,53,32,0.603774,0.2561532
2025,GB,def,46,21,0.456522,-0.12928858
2025,GB,off,49,28,0.571429,0.22469696
2025,HOU,def,53,28,0.528302,-0.14612776
2025,HOU,off,44,19,0.431818,-0.15500496
2025,IND,def,44,22,0.5,-0.043137487
2025,IND,off,62,38,0.612903,0.36719683
2025,JAX,def,53,28,0.528302,0.15488423
2025,JAX,off,55,27,0.490909,0.07483091
2025,KC,def,49,25,0.510204,0.106362574
2025,KC,off,46,28,0.608696,0.2861994
2025,LA,def,51,25,0.490196,-0.11242907
2025,LA,off,50,25,0.5,-0.0899591
2025,LAC,def,47,27,0.574468,0.020804672
2025,LAC,off,48,26,0.541667,-0.089831114
2025,LV,def,50,25,0.5,-0.27728173
2025,LV,off,53,29,0.54717,0.027704323
2025,MIA,def,80,42,0.525,0.15336296
2025,MIA,off,64,32,0.5,-0.1482069
2025,MIN,def,55,31,0.563636,-0.050765734
2025,MIN,off,40,20,0.5,-0.2541917
2025,NE,def,50,30,0.6,0.21641983
2025,NE,off,50,23,0.46,-0.0296486
2025,NO,def,54,24,0.444444,-0.24013501
2025,NO,off,56,29,0.517857,-0.1034876
2025,NYG,def,68,34,0.5,-0.033321474
2025,NYG,off,53,27,0.509434,0.2593132
2025,NYJ,def,53,24,0.45283,-0.0040744524
2025,NYJ,off,48,29,0.604167,0.1370764
2025,PHI,def,50,25,0.5,-0.04778261
2025,PHI,off,47,26,0.553191,-0.02803492
2025,PIT,def,57,32,0.561404,0.23870024
2025,PIT,off,47,19,0.404255,-0.02449539
2025,SEA,def,53,27,0.509434,-0.034237213
2025,SEA,off,50,29,0.58,0.08841743
2025,SF,def,50,30,0.6,-0.057545304
2025,SF,off,59,33,0.559322,-0.13974077
2025,TB,def,49,26,0.530612,-0.036968023
2025,TB,off,53,27,0.509434,0.022667222
2025,TEN,def,56,30,0.535714,0.19801983
2025,TEN,off,46,23,0.5,-0.055741005
2025,WAS,def,53,25,0.471698,0.07111391
2025,WAS,off,52,27,0.519231,-0.07539507
