season,team,rank_net_epa,net_epa,off_epa_per_play,def_epa_per_play_allowed
2025,IND,1,0.22429966181516642,0.1685514599084854,-0.055748201906681
2025,DET,2,0.1857179552316664,0.1283943057060241,-0.0573236495256423
2025,HOU,3,0.162177100777626,0.0144510120153427,-0.1477260887622833
2025,SEA,4,0.1166422925889491,0.0853603556752204,-0.0312819369137287
2025,WAS,5,0.10116263944655661,0.1093337759375572,0.0081711364910006
2025,BUF,6,0.09359542652964589,0.1520636975765228,0.0584682710468769
2025,DEN,7,0.09119803830981241,0.0416681766510009,-0.0495298616588115
2025,GB,8,0.0903282053768634,0.0985534116625785,0.0082252062857151
2025,JAX,9,0.0730872135609387,0.02957677654922,-0.0435104370117187
2025,NE,10,0.0606529746437446,0.0625627413392067,0.0019097666954621
2025,MIN,11,0.052454814314842196,-0.0431239381432533,-0.0955787524580955
2025,KC,12,0.0514549203217029,0.1015824005007743,0.0501274801790714
2025,PHI,13,0.0377727635204791,0.0182605609297752,-0.0195122025907039
2025,LA,14,0.0370051786303519,0.0184152293950319,-0.01858994923532
2025,SF,15,0.0348516581580042,0.0118433767929673,-0.0230082813650369
2025,ARI,16,0.013414883520454201,-0.0051669483073055,-0.0185818318277597
2025,TB,17,0.007221698760986297,0.0325140878558158,0.0252923890948295
2025,PIT,18,0.003431785851717002,0.0424958355724811,0.0390640497207641
2025,,19,0.0,0.0,0.0
2025,LAC,20,-0.0039627319201827015,-0.0178464651107788,-0.0138837331905961
2025,DAL,21,-0.014019548892974881,0.1503556668758392,0.1643752157688141
2025,ATL,22,-0.028898476855829403,-0.0326506197452545,-0.0037521428894251
2025,CAR,23,-0.0352273313328623,-0.0219656620174646,0.0132616693153977
2025,CHI,24,-0.0589252710342407,-0.0362136736512184,0.0227115973830223
2025,BAL,25,-0.0788636431097984,0.0705893263220787,0.1494529694318771
2025,NYG,26,-0.0991590321063994,-0.0540890544652938,0.0450699776411056
2025,MIA,27,-0.1022277250885963,0.0661753341555595,0.1684030592441558
2025,NO,28,-0.1176627567037939,-0.1023260205984115,0.0153367361053824
2025,NYJ,29,-0.1365207638591528,0.0107142124325037,0.1472349762916565
2025,CLE,30,-0.1398404128849506,-0.159887745976448,-0.0200473330914974
2025,LV,31,-0.16136521100997908,-0.1158177107572555,0.0455475002527236
2025,TEN,32,-0.1948413141071796,-0.1345953643321991,0.0602459497749805
2025,CIN,33,-0.20560850948095322,-0.1290176659822464,0.0765908434987068
