defteam,week,season,def_plays,expl_rush_allowed,expl_pass_allowed,expl_total_allowed,expl_rate_allowed,chunk20_allowed,chunk20_rate
ARI,1,2025,67,3,2,5,0.07462686567164178,0,0.0
ATL,1,2025,55,3,3,6,0.10909090909090909,0,0.0
BAL,1,2025,74,2,11,13,0.17567567567567569,0,0.0
BUF,1,2025,50,10,6,16,0.32,0,0.0
CAR,1,2025,60,5,4,9,0.15,0,0.0
CHI,1,2025,49,4,3,7,0.14285714285714285,0,0.0
CIN,1,2025,71,0,6,6,0.08450704225352113,0,0.0
CLE,1,2025,49,0,1,1,0.02040816326530612,0,0.0
DAL,1,2025,59,5,1,6,0.1016949152542373,0,0.0
DEN,1,2025,55,0,2,2,0.03636363636363636,0,0.0
DET,1,2025,46,2,6,8,0.17391304347826086,0,0.0
GB,1,2025,64,1,3,4,0.0625,0,0.0
HOU,1,2025,55,0,7,7,0.12727272727272726,0,0.0
IND,1,2025,46,2,2,4,0.08695652173913043,0,0.0
JAX,1,2025,60,1,4,5,0.08333333333333333,0,0.0
KC,1,2025,59,2,8,10,0.1694915254237288,0,0.0
LA,1,2025,57,3,4,7,0.12280701754385964,0,0.0
LAC,1,2025,57,5,4,9,0.15789473684210525,0,0.0
LV,1,2025,68,1,6,7,0.10294117647058823,0,0.0
MIA,1,2025,70,6,8,14,0.2,0,0.0
MIN,1,2025,63,4,6,10,0.15873015873015872,0,0.0
NE,1,2025,60,1,10,11,0.18333333333333332,0,0.0
NO,1,2025,61,4,2,6,0.09836065573770492,0,0.0
NYG,1,2025,62,8,6,14,0.22580645161290322,0,0.0
NYJ,1,2025,53,0,8,8,0.1509433962264151,0,0.0
PHI,1,2025,55,2,5,7,0.12727272727272726,0,0.0
PIT,1,2025,62,6,5,11,0.1774193548387097,0,0.0
SEA,1,2025,70,1,5,6,0.08571428571428572,0,0.0
SF,1,2025,49,0,5,5,0.10204081632653061,0,0.0
TB,1,2025,70,1,4,5,0.07142857142857142,0,0.0
TEN,1,2025,69,4,3,7,0.10144927536231885,0,0.0
WAS,1,2025,62,1,4,5,0.08064516129032258,0,0.0
ARI,2,2025,76,1,7,8,0.10526315789473684,0,0.0
ATL,2,2025,46,1,4,5,0.10869565217391304,0,0.0
BAL,2,2025,72,1,4,5,0.06944444444444445,0,0.0
BUF,2,2025,47,4,1,5,0.10638297872340426,0,0.0
CAR,2,2025,47,2,5,7,0.14893617021276595,0,0.0
CHI,2,2025,58,5,6,11,0.1896551724137931,0,0.0
CIN,2,2025,70,1,7,8,0.11428571428571428,0,0.0
CLE,2,2025,50,1,6,7,0.14,0,0.0
DAL,2,2025,65,2,8,10,0.15384615384615385,0,0.0
DEN,2,2025,67,3,5,8,0.11940298507462686,0,0.0
DET,2,2025,64,5,7,12,0.1875,0,0.0
GB,2,2025,64,0,2,2,0.03125,0,0.0
HOU,2,2025,72,5,5,10,0.1388888888888889,0,0.0
IND,2,2025,54,4,6,10,0.18518518518518517,0,0.0
JAX,2,2025,65,1,5,6,0.09230769230769231,0,0.0
KC,2,2025,56,3,1,4,0.07142857142857142,0,0.0
LA,2,2025,64,2,4,6,0.09375,0,0.0
LAC,2,2025,65,3,3,6,0.09230769230769231,0,0.0
LV,2,2025,53,2,4,6,0.11320754716981132,0,0.0
MIA,2,2025,52,3,5,8,0.15384615384615385,0,0.0
MIN,2,2025,62,7,3,10,0.16129032258064516,0,0.0
NE,2,2025,52,1,7,8,0.15384615384615385,0,0.0
NO,2,2025,64,2,3,5,0.078125,0,0.0
NYG,2,2025,83,4,8,12,0.14457831325301204,0,0.0
NYJ,2,2025,67,3,4,7,0.1044776119402985,0,0.0
PHI,2,2025,57,4,5,9,0.15789473684210525,0,0.0
PIT,2,2025,64,4,9,13,0.203125,0,0.0
SEA,2,2025,59,1,3,4,0.06779661016949153,0,0.0
SF,2,2025,67,3,4,7,0.1044776119402985,0,0.0
TB,2,2025,45,2,7,9,0.2,0,0.0
TEN,2,2025,57,5,8,13,0.22807017543859648,0,0.0
WAS,2,2025,61,3,8,11,0.18032786885245902,0,0.0
BUF,3,2025,59,4,3,7,0.11864406779661017,0,0.0
MIA,3,2025,57,6,6,12,0.21052631578947367,0,0.0
