match,winner,loser,winner_score,loser_score,dominance_index
DET vs CLE (W4 2025),HOME,AWAY,41.473,2.352,39.121
LV vs CHI (W4 2025),AWAY,HOME,34.501,5.788,28.713
PIT vs MIN (W4 2025),HOME,AWAY,33.766,5.584,28.182
TB vs PHI (W4 2025),AWAY,HOME,27.936,3.748,24.188
ARI vs SEA (W4 2025),HOME,AWAY,22.355,1.378,20.978
KC vs BAL (W4 2025),AWAY,HOME,28.538,8.017,20.521
BUF vs NO (W4 2025),HOME,AWAY,24.347,4.213,20.133
SF vs JAX (W4 2025),AWAY,HOME,23.165,6.103,17.062
ATL vs WAS (W4 2025),AWAY,HOME,21.523,8.905,12.617
NYG vs LAC (W4 2025),HOME,AWAY,15.911,3.6,12.311
HOU vs TEN (W4 2025),HOME,AWAY,25.87,15.836,10.033
NE vs CAR (W4 2025),HOME,AWAY,12.258,9.208,3.051
LAR vs IND (W4 2025),HOME,AWAY,0.0,0.0,0.0
