stem,columns_found
adj_epa,adj_epa
adj_sr,adj_sr
auto_fd_allowed,auto_fd_allowed
avg_start_yardline_100,avg_start_yardline_100_off
avg_start_yardline_100_faced,avg_start_yardline_100_faced
chunk20_allowed,chunk20_allowed
chunk20_rate,chunk20_rate
def_3d_allowed_conv,def_3d_allowed_conv
def_3d_allowed_rate,def_3d_allowed_rate
def_3d_att_faced,def_3d_att_faced
def_3d_avg_togo_faced,def_3d_avg_togo_faced
def_3d_epa_allowed_per_play,def_3d_epa_allowed_per_play
def_3d_pass_rate_faced,def_3d_pass_rate_faced
def_3d_sr_allowed,def_3d_sr_allowed
def_auto_fd_allowed_pg,def_auto_fd_allowed_pg
def_dpi_yds_pg,def_dpi_yds_pg
def_epa_per_play_allowed,def_epa_per_play_allowed
def_epa_per_play_allowed_delta3,def_epa_per_play_allowed_delta3
def_epa_per_play_allowed_roll3,def_epa_per_play_allowed_roll3
def_median_epa_allowed,def_median_epa_allowed
def_plays,def_plays
defteam,defteam
dpi_yds,dpi_yds
drives,drives
early_down_epa,early_down_epa_off
early_down_epa_allowed,early_down_epa_allowed
epa_avg_h1,epa_avg_h1
epa_avg_h2,epa_avg_h2
epa_h1,epa_h1
epa_h2,epa_h2
epa_per_play,epa_per_play
expl_pass_allowed,expl_pass_allowed
expl_rate_allowed,expl_rate_allowed
expl_rush_allowed,expl_rush_allowed
expl_total_allowed,expl_total_allowed
explosive_plays,explosive_plays_off
explosive_plays_allowed,explosive_plays_allowed
explosive_rate,explosive_rate_off
explosive_rate_allowed,explosive_rate_allowed
fg_att,fg_att
fg_drives,fg_drives
fg_epa_per_att,fg_epa_per_att
fg_made,fg_made
fg_pct,fg_pct
fg_rate,fg_rate
field_pos_advantage,field_pos_advantage
fourth_down_sr,fourth_down_sr_off
fourth_down_sr_allowed,fourth_down_sr_allowed
games,games
hidden_yards_per_drive,hidden_yards_per_drive
ko_opp_start_yd100,ko_opp_start_yd100
ko_plays,ko_plays
ko_tb_rate,ko_tb_rate
late_down_epa,late_down_epa_off
late_down_epa_allowed,late_down_epa_allowed
momentum_3w,momentum_3w
net_early_down_epa,net_early_down_epa
net_epa,net_epa
net_epa_delta3,net_epa_delta3
net_epa_roll3,net_epa_roll3
net_explosive_rate,net_explosive_rate
net_fourth_down_sr,net_fourth_down_sr
net_late_down_epa,net_late_down_epa
net_red_zone_epa,net_red_zone_epa
net_third_down_sr,net_third_down_sr
off_3d_att,off_3d_att
off_3d_avg_togo,off_3d_avg_togo
off_3d_conv,off_3d_conv
off_3d_epa_per_play,off_3d_epa_per_play
off_3d_pass_rate,off_3d_pass_rate
off_3d_rate,off_3d_rate
off_3d_sr,off_3d_sr
off_epa_per_play,off_epa_per_play
off_epa_per_play_delta3,off_epa_per_play_delta3
off_epa_per_play_roll3,off_epa_per_play_roll3
off_median_epa,off_median_epa
opp,opp
pass_epa_per_play,pass_epa_per_play_off
pass_epa_per_play_allowed,pass_epa_per_play_allowed
pass_rush_delta,pass_rush_delta_off
pen_per_100_plays,pen_per_100_plays
pen_per_100_plays_w,pen_per_100_plays_w
penalties,penalties
penalties_pg,penalties_pg
penalty_yds,penalty_yds
penalty_yds_pg,penalty_yds_pg
plays,"plays, plays_def, plays_off"
plays_h1,plays_h1
plays_h2,plays_h2
plays_per_drive,plays_per_drive
pot_per_game,pot_per_game
pot_per_takeaway,pot_per_takeaway
pot_points,pot_points
ppd_basic,ppd_basic
ppd_basic_sum,ppd_basic_sum
ppd_points,ppd_points
ppd_true_sum,ppd_true_sum
presnap_pen_rate,presnap_pen_rate
presnap_pen_rate_w,presnap_pen_rate_w
punt_drives,punt_drives
punt_net,punt_net
punt_opp_start_yd100,punt_opp_start_yd100
punt_plays,punt_plays
punt_rate,punt_rate
red_zone_epa,red_zone_epa_off
red_zone_epa_allowed,red_zone_epa_allowed
redzone_drive_rate,redzone_drive_rate
ret_epa,ret_epa
ret_epa_against,ret_epa_against
ret_epa_diff,ret_epa_diff
ret_plays,ret_plays
rush_epa_per_play,rush_epa_per_play_off
rush_epa_per_play_allowed,rush_epa_per_play_allowed
rz_drives,rz_drives
rz_efficiency,rz_efficiency
rz_efficiency_allowed,rz_efficiency_allowed
rz_empty,rz_empty
rz_empty_allowed,rz_empty_allowed
rz_fg,rz_fg
rz_fg_allowed,rz_fg_allowed
rz_pen_rate,rz_pen_rate
rz_pen_rate_w,rz_pen_rate_w
rz_td,rz_td
rz_td_allowed,rz_td_allowed
rz_trips,rz_trips
rz_trips_allowed,rz_trips_allowed
score_drives,score_drives
score_rate,score_rate
sr,sr
sr_h1,sr_h1
sr_h2,sr_h2
st_epa,st_epa
st_epa_per_play,st_epa_per_play
st_pen_rate,st_pen_rate
st_plays,st_plays
st_score,st_score
start_own_yardline_avg,start_own_yardline_avg
start_yardline_100_avg,start_yardline_100_avg
success_rate,success_rate_off
success_rate_allowed,success_rate_allowed
success_rate_h1,success_rate_h1
success_rate_h2,success_rate_h2
successes,successes
takeaways,takeaways
td_drives,td_drives
td_rate,td_rate
third_down_sr,third_down_sr_off
third_down_sr_allowed,third_down_sr_allowed
third_fourth_pen,third_fourth_pen
third_fourth_pen_pg,third_fourth_pen_pg
to_drives,to_drives
total_yards,total_yards_off
turnover_epa,turnover_epa_off
turnover_epa_forced,turnover_epa_forced
turnover_epa_net,turnover_epa_net
turnover_rate,turnover_rate
xp_att,xp_att
xp_epa_per_att,xp_epa_per_att
xp_made,xp_made
xp_pct,xp_pct
yards_allowed,yards_allowed
yds,yds
yds_per_drive,yds_per_drive
