"season","team","rank_net_epa","net_epa","off_epa_per_play","def_epa_per_play_allowed"
"2024","DET","1","0.1740189222389562","0.1332452073933982","-0.040773714845558"
"2024","CAR","33","-0.15762886706275958","-0.0404686269438969","0.1171602401188627"
"2024","BAL","2","0.15303287931904622","0.148175719018543","-0.0048571603005032"
"2024","PHI","3","0.1467071133281174","0.0924400676099856","-0.0542670457181318"
"2024","CLE","32","-0.14155358549288719","-0.1427261116017852","-0.001172526108898"
"2024","BUF","4","0.14066925544246983","0.1406281073631488","-4.114807932102916e-05"
"2024","NYG","31","-0.13710398941477342","-0.0844666809955072","0.0526373084192662"
"2024","TEN","30","-0.1364571913966354","-0.0999023096064518","0.0365548817901836"
"2024","GB","5","0.118475236823209","0.0757190040966792","-0.0427562327265298"
"2024","NE","29","-0.11399398452939069","-0.0636456466030142","0.0503483379263765"
